Map ACC-RPM | Ver 1.1. | Data: 24.10.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TypeCan;FMS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SpeedCan;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TankVolume;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ACC/RPM;0;3;6;9;12;15;18;21;24;27;30;33;36;39;42;45;48;51;54;57;60;63;66;69;72;75;78;81;84;87;90;93;96;99
500;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
600;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
700;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
800;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
900;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1000;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1100;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1200;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1300;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1400;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1500;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1600;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
1800;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2000;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2100;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2200;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2300;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2400;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2500;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2600;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2700;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2800;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
2900;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
3000;0;0;0;0;10;10;10;20;20;30;80;90;100;100;100;100;100;100;100;100;100;100;100;100;100;100;80;60;50;40;30;10;10;10
